City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Puerto Ayora,EC,66.99,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
4,Los Llanos De Aridane,ES,68.0,clear sky,28.66,-17.92,Valle Aridane
7,New Norfolk,AU,66.99,overcast clouds,-42.78,147.06,The Shingles Riverside Cottages
16,Hilo,US,82.4,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
18,Vila Velha,BR,73.4,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
19,Saint-Philippe,RE,78.8,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
22,Moerai,PF,71.85,overcast clouds,-22.43,-151.33,Le Manotel
23,Laguna,US,66.99,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
25,Butaritari,KI,81.86,broken clouds,3.07,172.79,Isles Sunset Lodge
26,Port Alfred,ZA,67.96,overcast clouds,-33.59,26.89,The Halyards Hotel
27,Cabo San Lucas,MX,82.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
28,Namatanai,PG,84.9,scattered clouds,-3.67,152.43,Namatanai Hotel
29,Rikitea,PF,74.66,broken clouds,-23.12,-134.97,Pension Maro'i
30,Busselton,AU,72.0,clear sky,-33.65,115.33,Observatory Guest House
31,Hasaki,JP,66.2,light intensity shower rain,35.73,140.83,Inubosaki Kanko Hotel
34,Hobart,AU,66.99,broken clouds,-42.88,147.33,St Ives Hobart Accommodation Tasmania
43,Bubaque,GW,83.57,light rain,11.28,-15.83,"Casa Dora, Bubaque"
44,Margherita,IN,71.6,overcast clouds,27.28,95.68,Dehing Guest House
45,Tucuma,BR,78.84,clear sky,-0.18,-50.05,
50,Kavaratti,IN,82.4,few clouds,10.57,72.64,Hotels in Lakshadweep Islands
51,Omidiyeh,IR,66.2,clear sky,30.76,49.7,کمپ خالدی
52,Faanui,PF,79.84,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
55,Atuona,PF,78.33,clear sky,-9.8,-139.03,Villa Enata
57,Ipixuna,BR,77.0,clear sky,-1.76,-48.8,Casa da Oscarina
58,Hithadhoo,MV,83.44,broken clouds,-0.6,73.08,Scoop Guest House
59,Victoria,HK,77.0,moderate rain,22.29,114.16,Mini Hotel Central
64,Mahebourg,MU,77.0,broken clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
67,Souillac,MU,77.0,broken clouds,-20.52,57.52,Bils' Villa
68,Itarema,BR,79.07,broken clouds,-2.92,-39.92,Windvillage
75,Quelimane,MZ,71.6,broken clouds,-17.88,36.89,Hotel Flamingo
80,Avarua,CK,75.2,light rain,-21.21,-159.78,Paradise Inn
82,Lorengau,PG,83.7,light rain,-2.02,147.27,Lorengau Harbourside Hotel
83,Flinders,AU,78.01,broken clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
84,Atar,MR,81.95,clear sky,20.52,-13.05,Oumou Elghoura
85,Richards Bay,ZA,69.69,scattered clouds,-28.78,32.04,BON Hotel Waterfront Richards Bay
87,Cidreira,BR,67.01,overcast clouds,-30.18,-50.21,Hotel Castelo
92,Saint George,US,69.8,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
93,Negara,ID,84.51,light rain,-8.32,114.6,Jati Hotel
94,Carlos Chagas,BR,71.26,light rain,-17.7,-40.77,Minas Hotel
99,Mecca,SA,81.37,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
102,Kavieng,PG,84.61,overcast clouds,-2.57,150.8,Nusa Island Retreat
103,Puerto Cabezas,NI,78.96,broken clouds,14.04,-83.39,Hotel Caribe
106,Saint-Pierre,RE,78.8,clear sky,-21.34,55.48,Lindsey Hôtel
108,Byron Bay,AU,82.4,broken clouds,-28.65,153.62,Backpackers Inn on the Beach
110,Port Blair,IN,84.18,broken clouds,11.67,92.75,Fortune Resort Bay Island
111,Bathsheba,BB,80.6,scattered clouds,13.22,-59.52,Atlantis Hotel
113,Bambous Virieux,MU,77.0,broken clouds,-20.34,57.76,Casa Tia Villa
114,San Patricio,US,79.0,few clouds,28.02,-97.52,"Motel 6 Sinton, TX"
120,Grand-Santi,GF,73.8,few clouds,4.25,-54.38,Hotel La Villa Couacou
123,Santa Isabel Do Rio Negro,BR,74.17,overcast clouds,-0.41,-65.02,Hotel GSA
124,Kunda,IN,83.5,clear sky,25.72,81.52,Abhinav Mishra
126,Cap Malheureux,MU,77.0,light rain,-19.98,57.61,Pereybere Hotel & Spa
127,Axim,GH,77.77,light rain,4.87,-2.24,AXIM BEACH RESORT AND SPA
130,Ahuimanu,US,84.2,broken clouds,21.44,-157.84,Paradise Bay Resort
133,Gambela,ET,69.98,few clouds,8.25,34.58,Solomon Debebe Hotel
134,Salta,AR,71.6,overcast clouds,-24.79,-65.41,Hotel Alejandro I
135,Touros,BR,75.2,scattered clouds,-5.2,-35.46,INN NEW HORIZON
139,Morros,BR,82.69,few clouds,-9.45,-46.3,
141,Port-Gentil,GA,78.58,light rain,-0.72,8.78,Fengshui Residence
145,San Carlos Del Zulia,VE,78.24,broken clouds,9.0,-71.91,CHS
148,Carnarvon,AU,77.0,clear sky,-24.87,113.63,Hospitality Carnarvon
151,Nizwa,OM,79.77,clear sky,22.93,57.53,Orient Apartments
152,Ouesso,CG,69.46,moderate rain,1.61,16.05,Hôtel ABENI
155,Praia,CV,77.0,few clouds,14.92,-23.51,LT Aparthotel
157,Celestun,MX,79.83,light rain,20.87,-90.4,Posada Lilia
159,Camopi,GF,73.38,clear sky,3.17,-52.32,
160,San Cristobal,VE,66.22,light rain,7.77,-72.22,Pirineos
161,Arraial Do Cabo,BR,70.99,few clouds,-22.97,-42.03,Pousada Porto Praia
162,Porto Velho,BR,77.0,broken clouds,-8.76,-63.9,Hotel Vila Rica Porto Velho
164,Lengshuitan,CN,71.87,clear sky,26.41,111.6,Jialong Hotel
166,Ocos,GT,68.0,overcast clouds,14.51,-92.19,La Bajadita
167,Mananjary,MG,73.87,light rain,-21.22,48.33,Vahiny Lodge
172,Warragul,AU,73.0,light rain,-38.17,145.93,Comfort Inn & Suites Warragul
173,Huizhou,CN,77.36,heavy intensity rain,23.08,114.4,宜必思酒店
174,Vila Do Maio,CV,77.0,few clouds,15.13,-23.22,Residence 'I Delfini'
177,Vaini,TO,77.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
178,Diamantino,BR,79.84,broken clouds,-14.41,-56.45,Hotel Delta
191,Raga,SS,69.64,overcast clouds,8.46,25.68,
193,Toamasina,MG,75.2,scattered clouds,-18.17,49.38,Hotel H1
195,Tias,ES,66.2,clear sky,28.96,-13.64,Hotel Beatriz Playa & SPA
197,Lagunas,PE,72.72,overcast clouds,-5.23,-75.68,Hospedaje Eco
199,Airai,TL,79.81,light rain,-8.93,125.41,Juvinal Martin
200,Muroto,JP,69.8,few clouds,33.28,134.15,Oota Ryokan
