City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6,-73.97,57.0,87,86,1.23,overcast clouds
1,Kruisfontein,ZA,-34.0,24.73,63.97,64,98,6.08,overcast clouds
2,Puerto Ayora,EC,-0.74,-90.35,66.99,95,91,3.0,overcast clouds
3,Dikson,RU,73.51,80.55,20.03,96,61,10.54,broken clouds
4,Los Llanos De Aridane,ES,28.66,-17.92,68.0,60,0,8.05,clear sky
5,Qaanaaq,GL,77.48,-69.36,20.34,93,100,10.42,overcast clouds
6,Sabha,LY,27.04,14.43,63.1,45,0,7.74,clear sky
7,New Norfolk,AU,-42.78,147.06,66.99,60,100,3.58,overcast clouds
8,Cape Town,ZA,-33.93,18.42,61.0,93,40,4.7,scattered clouds
9,Zhezkazgan,KZ,47.8,67.71,33.44,75,0,9.64,clear sky
10,Vila Franca Do Campo,PT,37.72,-25.43,60.8,72,75,3.36,broken clouds
11,Cherskiy,RU,68.75,161.3,19.99,95,37,4.09,scattered clouds
12,Verkhoyansk,RU,67.54,133.38,8.49,89,0,2.59,clear sky
13,Barrow,US,71.29,-156.79,33.8,98,90,3.36,fog
14,Ushuaia,AR,-54.8,-68.3,42.8,75,40,20.8,scattered clouds
15,Clyde River,CA,70.47,-68.59,10.4,92,1,5.82,clear sky
16,Hilo,US,19.73,-155.09,82.4,65,1,9.17,clear sky
17,Tuktoyaktuk,CA,69.45,-133.04,28.4,100,90,25.28,light snow
18,Vila Velha,BR,-20.33,-40.29,73.4,78,40,8.05,scattered clouds
19,Saint-Philippe,RE,-21.36,55.77,78.8,61,0,14.99,clear sky
20,Punta Arenas,CL,-53.15,-70.92,42.8,75,0,3.36,clear sky
21,Ponta Do Sol,PT,32.67,-17.1,64.4,72,40,5.82,scattered clouds
22,Moerai,PF,-22.43,-151.33,71.85,80,100,16.51,overcast clouds
23,Laguna,US,38.42,-121.42,66.99,19,1,8.05,clear sky
24,Kaitangata,NZ,-46.28,169.85,61.57,59,99,6.13,overcast clouds
25,Butaritari,KI,3.07,172.79,81.86,76,72,11.32,broken clouds
26,Port Alfred,ZA,-33.59,26.89,67.96,90,92,11.27,overcast clouds
27,Cabo San Lucas,MX,22.89,-109.91,82.0,83,0,1.01,clear sky
28,Namatanai,PG,-3.67,152.43,84.9,63,35,8.37,scattered clouds
29,Rikitea,PF,-23.12,-134.97,74.66,76,80,10.04,broken clouds
30,Busselton,AU,-33.65,115.33,72.0,33,0,3.76,clear sky
31,Hasaki,JP,35.73,140.83,66.2,93,75,5.82,light intensity shower rain
32,Atasu,KZ,48.68,71.64,33.62,78,56,8.72,broken clouds
33,Hermanus,ZA,-34.42,19.23,62.01,89,63,2.44,broken clouds
34,Hobart,AU,-42.88,147.33,66.99,67,75,13.87,broken clouds
35,Martapura,ID,-3.42,114.85,89.6,62,40,2.24,scattered clouds
36,Kiomboi,TZ,-4.27,34.37,61.18,67,82,4.56,broken clouds
37,Chinhoyi,ZW,-17.37,30.2,64.94,62,0,4.74,clear sky
38,Dawlatabad,AF,36.41,64.91,52.61,43,5,2.01,clear sky
39,Magadan,RU,59.57,150.8,35.35,83,99,12.37,overcast clouds
40,Iqaluit,CA,63.75,-68.51,28.4,86,90,2.24,light snow
41,Lebu,CL,-37.62,-73.65,46.74,86,5,8.08,clear sky
42,Bredasdorp,ZA,-34.53,20.04,62.6,93,97,4.7,overcast clouds
43,Bubaque,GW,11.28,-15.83,83.57,78,18,11.01,light rain
44,Margherita,IN,27.28,95.68,71.6,100,90,12.75,overcast clouds
45,Tucuma,BR,-0.18,-50.05,78.84,81,3,7.81,clear sky
46,Mataura,NZ,-46.19,168.86,62.01,67,100,5.99,light rain
47,Verkhnyaya Inta,RU,65.98,60.31,24.91,98,100,10.02,light snow
48,Khuzhir,RU,53.19,107.34,39.61,73,71,11.79,broken clouds
49,Narsaq,GL,60.92,-46.05,23.0,62,78,1.12,broken clouds
50,Kavaratti,IN,10.57,72.64,82.4,74,20,5.82,few clouds
51,Omidiyeh,IR,30.76,49.7,66.2,17,0,4.7,clear sky
52,Faanui,PF,-16.48,-151.75,79.84,71,34,9.6,scattered clouds
53,Jinchang,CN,38.5,102.17,49.39,42,0,4.85,clear sky
54,Mar Del Plata,AR,-38.0,-57.56,55.4,93,90,13.87,drizzle
55,Atuona,PF,-9.8,-139.03,78.33,73,0,14.65,clear sky
56,Yellowknife,CA,62.46,-114.35,24.01,85,90,5.82,light snow
57,Ipixuna,BR,-1.76,-48.8,77.0,88,0,2.24,clear sky
58,Hithadhoo,MV,-0.6,73.08,83.44,76,83,14.88,broken clouds
59,Victoria,HK,22.29,114.16,77.0,50,100,1.01,moderate rain
60,Beringovskiy,RU,63.05,179.32,38.89,87,79,18.03,broken clouds
61,Ilulissat,GL,69.22,-51.1,21.2,73,48,1.12,scattered clouds
62,Kirensk,RU,57.79,108.11,41.99,70,79,9.15,broken clouds
63,Tiksi,RU,71.69,128.87,17.47,91,93,9.48,overcast clouds
64,Mahebourg,MU,-20.41,57.7,77.0,69,75,11.41,broken clouds
65,Bluff,NZ,-46.6,168.33,62.01,67,99,5.99,overcast clouds
66,Thompson,CA,55.74,-97.86,26.6,92,90,9.17,light snow
67,Souillac,MU,-20.52,57.52,77.0,69,75,11.41,broken clouds
68,Itarema,BR,-2.92,-39.92,79.07,78,83,14.12,broken clouds
69,Jamestown,US,42.1,-79.24,59.0,93,1,5.82,clear sky
70,Sembakung,ID,3.82,117.25,91.09,61,100,1.07,moderate rain
71,Tagusao,PH,9.19,117.81,85.08,73,100,16.53,light rain
72,Auburn,US,47.31,-122.23,46.0,81,40,4.7,scattered clouds
73,Buraydah,SA,26.33,43.98,60.8,41,0,2.24,clear sky
74,Bethel,US,41.37,-73.41,64.4,88,90,1.88,mist
75,Quelimane,MZ,-17.88,36.89,71.6,88,75,4.7,broken clouds
76,Torbay,CA,47.67,-52.73,44.01,70,40,21.92,scattered clouds
77,Grindavik,IS,63.84,-22.43,42.8,75,90,24.16,heavy intensity rain
78,Chokurdakh,RU,70.63,147.92,4.39,91,0,5.53,clear sky
79,Dingle,PH,11.0,122.67,86.16,76,62,9.37,moderate rain
80,Avarua,CK,-21.21,-159.78,75.2,94,100,12.75,light rain
81,Saldanha,ZA,-33.01,17.94,59.0,87,46,14.99,scattered clouds
82,Lorengau,PG,-2.02,147.27,83.7,75,19,7.34,light rain
83,Flinders,AU,-34.58,150.86,78.01,69,66,4.0,broken clouds
84,Atar,MR,20.52,-13.05,81.95,37,0,8.99,clear sky
85,Richards Bay,ZA,-28.78,32.04,69.69,84,26,10.38,scattered clouds
86,Saint Anthony,US,45.02,-93.22,36.0,80,90,12.75,overcast clouds
87,Cidreira,BR,-30.18,-50.21,67.01,86,99,24.49,overcast clouds
88,San Quintin,MX,30.48,-115.95,64.33,79,94,3.71,overcast clouds
89,Castro,BR,-24.79,-50.01,60.17,88,73,12.66,broken clouds
90,Norman Wells,CA,65.28,-126.83,10.4,85,75,3.06,broken clouds
91,Hay River,CA,60.82,-115.8,26.6,73,75,8.05,light snow
92,Saint George,US,37.1,-113.58,69.8,16,1,18.34,clear sky
93,Negara,ID,-8.32,114.6,84.51,69,34,6.64,light rain
94,Carlos Chagas,BR,-17.7,-40.77,71.26,87,100,9.78,light rain
95,Sept-Iles,CA,50.2,-66.38,33.01,86,40,2.24,scattered clouds
96,Tasiilaq,GL,65.61,-37.64,35.6,51,100,28.86,overcast clouds
97,Emerald,AU,-23.53,148.17,87.8,40,73,8.05,broken clouds
98,Rocha,UY,-34.48,-54.33,59.27,93,100,8.39,moderate rain
99,Mecca,SA,21.43,39.83,81.37,15,0,12.06,clear sky
100,Leningradskiy,RU,69.38,178.42,29.5,92,0,4.56,clear sky
101,Hohhot,CN,40.81,111.65,44.6,26,0,2.24,clear sky
102,Kavieng,PG,-2.57,150.8,84.61,64,96,10.78,overcast clouds
103,Puerto Cabezas,NI,14.04,-83.39,78.96,87,77,3.8,broken clouds
104,Kuvandyk,RU,51.48,57.36,26.8,94,1,4.61,clear sky
105,Provideniya,RU,64.38,-173.3,39.2,87,75,22.37,broken clouds
106,Saint-Pierre,RE,-21.34,55.48,78.8,61,0,14.99,clear sky
107,Broken Hill,AU,-31.95,141.43,64.4,88,75,19.46,broken clouds
108,Byron Bay,AU,-28.65,153.62,82.4,69,75,18.34,broken clouds
109,General Roca,AR,-39.03,-67.58,62.6,72,0,14.14,clear sky
110,Port Blair,IN,11.67,92.75,84.18,76,73,10.42,broken clouds
111,Bathsheba,BB,13.22,-59.52,80.6,83,40,23.04,scattered clouds
112,Chapais,CA,49.78,-74.85,30.2,86,90,4.7,overcast clouds
113,Bambous Virieux,MU,-20.34,57.76,77.0,69,75,11.41,broken clouds
114,San Patricio,US,28.02,-97.52,79.0,83,20,8.05,few clouds
115,Nikolskoye,RU,59.7,30.79,50.0,87,90,11.18,overcast clouds
116,Nyzhni Sirohozy,UA,46.85,34.38,54.19,92,99,5.41,overcast clouds
117,Kodiak,US,57.79,-152.41,44.6,75,90,28.86,light rain
118,Koboko,UG,3.41,30.96,62.29,99,100,5.55,light rain
119,San Jose,US,37.34,-121.89,62.6,77,1,6.93,clear sky
120,Grand-Santi,GF,4.25,-54.38,73.8,92,13,3.8,few clouds
121,Longyearbyen,SJ,78.22,15.64,23.0,73,40,10.29,scattered clouds
122,Najran,SA,17.49,44.13,62.6,23,0,4.7,clear sky
123,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,74.17,93,99,0.54,overcast clouds
124,Kunda,IN,25.72,81.52,83.5,41,0,4.07,clear sky
125,Severo-Kurilsk,RU,50.68,156.12,47.07,77,6,9.73,clear sky
126,Cap Malheureux,MU,-19.98,57.61,77.0,63,28,5.01,light rain
127,Axim,GH,4.87,-2.24,77.77,87,69,6.51,light rain
128,Skjervoy,NO,70.03,20.97,28.4,92,75,5.82,light shower snow
129,Yuzhne,UA,46.62,31.1,46.4,100,1,9.01,fog
130,Ahuimanu,US,21.44,-157.84,84.2,62,75,6.93,broken clouds
131,Maningrida,AU,-12.07,134.27,91.33,45,76,12.41,broken clouds
132,Valdivia,CL,-39.81,-73.25,37.4,100,24,3.36,few clouds
133,Gambela,ET,8.25,34.58,69.98,81,11,4.03,few clouds
134,Salta,AR,-24.79,-65.41,71.6,64,90,4.7,overcast clouds
135,Touros,BR,-5.2,-35.46,75.2,94,40,4.7,scattered clouds
136,Bardstown,US,37.81,-85.47,64.99,100,1,7.05,clear sky
137,Shelburne,CA,44.08,-80.2,51.01,100,90,8.05,overcast clouds
138,Alugan,PH,12.22,125.48,85.33,71,39,5.91,light rain
139,Morros,BR,-9.45,-46.3,82.69,33,19,3.53,few clouds
140,Khatanga,RU,71.97,102.5,3.81,93,100,8.52,overcast clouds
141,Port-Gentil,GA,-0.72,8.78,78.58,85,100,11.72,light rain
142,Gland,CH,46.42,6.27,54.0,96,100,1.19,light rain
143,Geraldton,AU,-28.77,114.6,86.0,20,0,10.29,clear sky
144,Roebourne,AU,-20.78,117.13,91.6,19,20,16.17,few clouds
145,San Carlos Del Zulia,VE,9.0,-71.91,78.24,83,80,3.53,broken clouds
146,Henties Bay,NA,-22.12,14.28,60.01,88,2,1.01,clear sky
147,Greytown,ZA,-29.06,30.59,58.48,75,0,2.13,clear sky
148,Carnarvon,AU,-24.87,113.63,77.0,61,0,14.99,clear sky
149,Iskateley,RU,67.68,53.15,22.78,97,33,8.21,scattered clouds
150,Nantucket,US,41.28,-70.1,55.99,86,90,3.36,fog
151,Nizwa,OM,22.93,57.53,79.77,13,0,4.23,clear sky
152,Ouesso,CG,1.61,16.05,69.46,97,100,1.7,moderate rain
