City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Airai,TL,2020-10-15 18:18:57,-8.93,125.41,60.85,82,95,1.16
1,Georgetown,MY,2020-10-15 18:14:51,5.41,100.34,80.6,88,20,1.12
2,Nome,US,2020-10-15 18:19:06,64.5,-165.41,35.6,93,90,17.22
3,Kihei,US,2020-10-15 18:22:19,20.79,-156.47,78.01,73,1,0.78
4,Yartsevo,RU,2020-10-15 18:22:19,55.07,32.7,48.49,82,97,6.15
5,Tura,IN,2020-10-15 18:22:19,25.52,90.22,73.67,94,0,1.83
6,Mataura,NZ,2020-10-15 18:18:37,-46.19,168.86,32.29,91,59,3.74
7,Feijo,BR,2020-10-15 18:22:19,-8.16,-70.35,85.57,61,78,3.98
8,Bluff,NZ,2020-10-15 18:18:40,-46.6,168.33,45.18,56,52,21.47
9,Hithadhoo,MV,2020-10-15 18:18:51,-0.6,73.08,82.69,75,68,16.58
10,Lagos,NG,2020-10-15 18:22:20,6.58,3.75,82.4,78,40,8.05
11,Cidreira,BR,2020-10-15 18:19:03,-30.18,-50.21,68.22,72,89,8.52
12,Marabba,SD,2020-10-15 18:22:20,12.35,32.18,92.35,33,83,4.32
13,Chimbote,PE,2020-10-15 18:22:20,-9.09,-78.58,68.25,69,21,9.86
14,Vryburg,ZA,2020-10-15 18:22:20,-26.96,24.73,78.8,18,0,10.87
15,Tasiilaq,GL,2020-10-15 18:19:05,65.61,-37.64,39.2,86,75,10.29
16,Lompoc,US,2020-10-15 18:15:05,34.64,-120.46,82.4,33,1,6.93
17,Kutum,SD,2020-10-15 18:22:20,14.2,24.67,82.62,18,0,6.33
18,Skibbereen,IE,2020-10-15 18:21:49,51.55,-9.27,48.2,81,75,5.82
19,Mashhad,IR,2020-10-15 18:22:21,36.3,59.61,53.6,37,0,6.93
20,Hermanus,ZA,2020-10-15 18:18:42,-34.42,19.23,57.99,85,31,1.01
21,Altay,CN,2020-10-15 18:22:21,47.87,88.12,36.37,64,68,6.31
22,Sorong,ID,2020-10-15 18:22:21,-0.88,131.25,78.44,83,100,5.66
23,Saint-Philippe,RE,2020-10-15 18:18:37,-21.36,55.77,73.4,73,19,5.82
24,Novovasylivka,UA,2020-10-15 18:22:21,46.83,35.75,62.22,76,73,5.55
25,Takestan,IR,2020-10-15 18:22:22,36.07,49.7,53.6,40,42,2.24
26,Grootfontein,NA,2020-10-15 18:22:22,-19.57,18.12,77.68,27,50,8.88
